absences,G1,G2,failures,studytime,famsup
6,5,6,0,2,no
4,5,5,0,2,yes
10,7,8,3,2,no
2,15,14,0,3,yes
4,6,10,0,2,yes
10,15,15,0,2,yes
0,12,12,0,2,no
6,6,5,0,2,yes
0,16,18,0,2,yes
0,14,15,0,2,yes
0,10,8,0,2,yes
4,10,12,0,3,yes
2,14,14,0,1,yes
2,10,10,0,2,yes
0,14,16,0,3,yes
4,14,14,0,1,yes
6,13,14,0,3,yes
4,8,10,0,2,yes
16,6,5,3,1,yes
4,8,10,0,1,no
0,13,14,0,2,no
0,12,15,0,1,yes
2,15,15,0,2,no
0,13,13,0,2,yes
2,10,9,0,3,yes
14,6,9,2,1,yes
2,12,12,0,1,yes
4,15,16,0,1,no
4,11,11,0,2,yes
16,10,12,0,2,yes
0,9,11,0,2,yes
0,17,16,0,2,yes
0,17,16,0,2,yes
0,8,10,0,2,no
0,12,14,0,1,yes
0,8,7,0,1,yes
2,15,16,0,3,yes
7,15,16,0,3,yes
2,12,12,0,3,yes
8,14,13,0,1,yes
25,7,10,1,2,yes
8,12,12,0,1,yes
2,19,18,0,2,yes
0,8,8,0,1,yes
14,10,10,1,2,no
8,8,8,0,2,yes
12,11,12,0,2,yes
4,19,19,0,4,no
2,15,15,0,2,yes
2,7,7,1,2,yes
2,12,13,0,2,yes
2,11,13,0,2,yes
6,11,11,1,1,no
0,8,10,0,1,yes
6,10,13,0,1,no
8,8,9,0,2,no
0,14,15,0,2,yes
4,14,15,0,2,yes
2,9,10,0,2,yes
2,15,16,0,2,yes
6,10,11,0,2,yes
6,10,8,0,1,yes
4,8,10,0,2,no
2,10,9,0,3,yes
0,10,10,0,2,no
2,16,15,0,2,yes
4,13,13,0,4,yes
4,7,7,0,4,yes
2,8,9,0,2,yes
12,16,16,0,4,yes
0,13,15,0,4,yes
0,10,10,0,4,no
2,8,6,2,2,yes
2,12,12,0,1,no
54,11,12,0,2,yes
6,9,9,0,2,yes
8,11,11,0,4,no
0,11,11,0,4,no
2,8,8,3,1,yes
12,5,5,0,2,yes
2,10,12,0,1,yes
4,11,10,0,3,no
10,7,6,0,2,yes
4,15,15,0,2,no
2,9,10,0,2,yes
6,7,9,2,2,no
4,8,7,0,2,yes
4,13,14,0,3,yes
12,11,10,1,2,no
18,8,6,0,2,yes
0,7,7,0,3,yes
4,16,17,0,1,no
4,7,6,0,2,yes
0,11,10,0,2,yes
6,11,13,0,4,yes
2,7,10,1,4,yes
2,11,15,0,1,yes
2,8,9,0,2,yes
6,11,14,0,1,no
0,7,9,0,3,yes
14,7,7,0,1,yes
0,16,17,0,3,yes
4,10,13,0,1,yes
26,7,6,0,2,yes
0,16,18,0,2,yes
10,10,11,0,4,no
8,7,8,0,4,yes
2,16,18,0,3,yes
6,10,13,0,4,yes
4,14,15,0,3,yes
6,18,19,0,1,no
0,7,10,1,3,yes
6,10,13,1,2,no
10,18,19,0,1,no
8,9,9,0,2,no
2,15,15,0,2,yes
2,11,13,0,2,yes
0,13,14,0,1,no
20,9,7,1,2,yes
6,14,13,0,1,no
2,16,15,0,2,no
6,16,14,0,4,yes
2,13,13,0,2,yes
18,14,11,0,1,yes
0,8,7,0,2,no
0,13,13,0,1,no
0,7,10,0,2,no
2,7,8,3,2,yes
0,7,4,2,1,yes
8,18,18,0,1,no
0,12,0,2,3,yes
0,8,0,0,1,yes
12,10,13,0,1,yes
16,12,11,0,1,no
0,9,0,0,2,yes
0,11,0,0,3,yes
0,10,0,0,2,no
0,4,0,2,1,yes
0,14,12,1,2,no
0,16,16,0,1,no
0,7,9,0,4,yes
8,9,9,2,1,yes
2,9,11,0,3,yes
2,14,14,0,1,no
0,5,0,3,1,yes
0,8,11,0,2,yes
0,6,7,3,2,yes
2,10,11,0,2,yes
0,7,6,0,1,yes
0,8,9,3,1,no
0,6,5,3,1,no
6,12,13,1,1,no
8,10,10,2,3,yes
0,5,0,3,1,yes
0,11,11,0,1,yes
2,11,8,0,2,no
8,16,12,0,1,no
6,9,8,3,1,yes
2,17,15,0,1,no
4,10,12,1,2,yes
0,7,6,2,1,no
6,5,9,2,2,yes
0,7,0,1,1,no
2,10,10,0,1,no
0,5,8,3,2,no
16,12,11,1,1,yes
4,10,10,0,2,no
0,14,15,0,2,no
0,6,7,0,2,yes
0,14,14,0,2,yes
0,6,5,2,1,yes
2,13,15,0,2,yes
0,13,11,0,2,yes
0,8,7,3,2,no
4,10,11,0,2,yes
4,10,9,0,2,no
2,13,13,0,2,no
4,6,5,0,2,no
10,10,8,0,1,yes
4,10,10,0,2,yes
10,9,8,0,2,yes
2,12,13,0,2,no
0,16,17,0,2,yes
56,9,9,0,2,yes
14,12,13,0,2,yes
12,12,12,0,2,yes
2,11,12,0,1,yes
0,15,15,0,2,no
6,8,7,0,2,yes
4,8,9,0,2,no
10,11,12,0,2,no
0,8,8,0,2,no
12,7,8,0,2,no
8,8,9,0,1,yes
0,13,14,0,1,no
0,14,15,0,2,no
4,17,15,0,1,no
8,9,9,0,1,yes
24,18,18,1,1,yes
0,9,9,0,2,yes
2,16,16,0,2,yes
6,8,10,0,2,yes
4,9,9,0,2,yes
18,7,6,0,1,yes
6,10,10,0,4,yes
28,10,9,1,3,yes
5,7,7,3,2,yes
10,11,12,0,2,no
6,9,9,0,1,yes
6,7,7,0,3,yes
10,8,8,0,4,yes
13,12,12,0,2,yes
0,12,13,0,2,yes
15,6,7,1,2,yes
12,8,10,0,1,yes
2,14,15,0,2,no
22,6,6,2,2,no
13,6,6,1,2,yes
3,7,7,0,1,yes
4,9,10,0,3,yes
2,6,6,0,2,yes
0,6,5,1,3,yes
2,16,16,0,2,no
0,12,13,0,2,yes
0,13,13,0,3,yes
16,9,8,1,2,no
10,16,15,0,2,no
2,12,11,0,2,yes
14,10,8,0,2,yes
10,12,10,0,3,no
14,13,13,0,2,no
4,11,11,0,2,yes
14,11,9,0,2,yes
2,14,13,0,2,yes
18,9,7,0,2,yes
10,11,9,0,3,no
4,14,13,0,2,no
20,13,12,0,1,no
2,13,11,0,2,no
0,7,7,1,2,no
14,12,12,0,2,no
2,10,11,0,2,yes
0,6,0,0,1,no
0,13,12,0,1,no
0,7,0,0,3,yes
6,18,18,0,1,no
4,12,12,0,1,no
16,6,8,3,1,no
8,3,5,1,2,yes
0,13,15,0,1,no
0,6,8,1,1,no
6,7,10,0,2,yes
4,6,9,1,1,no
0,8,9,0,1,no
0,8,12,0,1,no
2,7,9,1,1,yes
6,14,12,0,4,yes
12,11,11,0,2,yes
8,15,14,0,2,no
0,10,9,0,4,no
21,17,18,0,2,yes
2,8,8,0,2,yes
1,13,12,0,3,no
4,10,9,0,3,no
0,9,10,0,3,yes
13,17,17,0,2,yes
2,9,9,0,2,no
8,12,10,0,2,no
10,10,9,0,2,yes
0,6,0,0,2,yes
15,9,9,2,2,yes
4,15,14,0,4,yes
2,11,11,0,2,yes
2,15,14,0,2,yes
2,10,10,0,2,yes
6,12,12,0,2,yes
75,10,9,0,2,no
22,9,9,0,1,no
15,9,8,1,2,yes
8,10,11,0,1,no
30,8,8,0,1,no
19,11,9,1,1,no
1,12,12,0,4,yes
4,8,9,0,2,no
4,10,9,0,2,yes
2,12,10,0,2,no
5,18,18,0,3,yes
6,13,12,0,3,yes
6,15,14,0,3,no
9,15,13,0,2,yes
11,12,11,0,2,yes
0,15,15,0,3,yes
12,12,12,1,2,no
6,18,18,0,4,yes
8,14,13,0,3,yes
4,14,12,0,1,yes
0,10,9,0,2,yes
10,10,8,0,2,yes
0,14,13,0,4,yes
5,16,15,0,1,yes
14,12,10,0,2,yes
0,11,11,0,1,no
0,15,12,0,3,yes
0,17,17,0,4,yes
20,15,14,1,2,yes
8,14,12,1,2,yes
0,17,18,0,1,no
38,8,9,1,1,yes
0,15,12,1,2,no
18,12,10,1,2,yes
0,9,9,1,2,no
20,14,12,0,2,yes
3,13,11,1,2,no
22,13,10,1,2,yes
14,15,13,2,3,no
40,13,11,1,3,no
0,8,8,0,2,yes
9,9,10,0,3,yes
0,11,11,0,3,yes
2,11,11,0,2,yes
23,13,13,0,2,yes
12,11,9,0,2,yes
3,11,11,0,3,yes
1,12,14,0,3,yes
0,16,15,0,3,no
3,9,12,0,3,no
3,14,15,0,1,no
8,11,10,0,1,yes
7,10,9,0,3,yes
4,14,14,0,3,yes
2,9,8,0,4,yes
7,12,14,0,3,yes
0,7,0,0,2,no
0,8,8,0,2,no
0,10,9,0,4,no
16,16,15,0,3,no
12,14,13,1,3,no
0,7,8,0,2,yes
7,16,15,0,4,yes
4,9,10,0,2,yes
4,11,12,1,3,no
0,10,10,1,2,yes
11,16,15,0,2,no
0,9,8,1,2,yes
4,11,10,0,3,yes
7,13,13,0,3,no
9,16,15,0,3,no
0,10,10,0,3,yes
0,13,15,0,3,yes
10,11,13,1,1,yes
8,8,7,3,2,no
2,13,13,0,2,yes
7,8,7,1,1,no
4,8,8,1,1,yes
4,13,11,0,2,yes
0,10,9,0,2,yes
4,12,13,0,2,yes
2,12,12,0,2,no
4,10,10,0,1,no
0,18,16,0,3,no
0,13,13,0,2,no
2,13,12,1,2,no
0,11,11,0,2,yes
0,16,15,0,2,yes
0,12,11,0,2,no
4,10,10,0,2,yes
0,13,13,0,3,no
0,7,6,1,1,yes
0,11,10,0,1,yes
10,14,12,0,2,yes
4,7,7,2,2,no
3,14,12,0,1,yes
8,13,11,0,3,no
14,6,5,0,1,no
0,19,18,0,3,no
2,8,8,0,3,no
4,15,14,2,3,yes
4,8,9,0,2,no
0,15,15,0,2,no
17,10,10,0,2,yes
4,15,14,0,2,no
5,7,6,0,1,no
2,11,11,0,2,no
0,6,5,1,1,no
14,6,5,1,1,no
2,10,9,0,3,no
7,6,5,0,1,yes
0,7,5,1,3,no
0,7,9,0,2,yes
0,6,5,1,2,no
11,9,9,2,2,yes
3,14,16,0,1,no
3,10,8,3,1,no
0,11,12,0,1,no
5,8,9,0,1,no
